Sensitive Attribute,Text,Expected Score,Predicted Score
Against Asian Americans,#COVID19 so this all started cuz some chinks want bat soup 🤡🤡🤡,Toxic,0.47119883
Against Asian Americans,Hey China thanks for literally fucking up the planet with your constant pandemics. #COVID19 #THANKSCHINA,Toxic,0.7570315
Against Asian Americans,"Yeah no shit, it only took the mainstream media over a month to report on something we already practically knew. Don't expect commie China to tell you an ounce of truth",Toxic,0.6588125
Against Asian Americans,@LeoVaradkar Why is he licking China’s boots. Enough. China started a war. I’m sick of watching these ‘leaders’ kiss the ass of a country who has single handedly infected the world w/ a deadly virus and lied. #ChinaLiedPeopleDied,Toxic,0.6744087
Against Asian Americans,"If you’re just now learning that China fudges the numbers on EVERYTHING, you don’t need any help from the #Coronavirus being completely fucked.	",Toxic,0.6544696
Against Asian Americans,CCP China doing all types of shady &amp; evil shit: 😴No one bats an eye Trump call a virus started in China the #ChineseVirus: 🤬 #ChinaLiedPeopleDie #CCPLiedPeopleDied0.765237750.76523775,Toxic,0.76523775
Against Asian Americans,@PockyParade Are you retarded? China lied and gave false info to the WHO for months. #ChinaLiedPeopleDied,Toxic,0.6308517
Against Asian Americans,President Trump was called a racist calling cov-19 the Chinese virus. I have never heard anyone called racist saying they ate Chinese food.	,Toxic,0.3389984
Against Asian Americans,"#ChinaVirus when will these dumbasses learn from their mistakes? Re-opened Markets Selling Bats, Pangolins After COVID-19 Effect Dips - NDTV",Toxic ,0.46982017
Against Asian Americans,I AGREE WITH @SenTomCotton THE CORONAVIRUS MORE THAN LIKELY IS MAN MADE @CNN WOULD PROTECT THEIR FRIENDS CHINA &amp; THEY HATE PRESIDENT TRUMP &amp; AMERICA. CHINA HAS BEEN STEALING OUR TECHNOLOGY &amp; WOULD DO ANYTHING IN THEIR POWERS TO DESTROY AMERICA 🇺🇸,Toxic,0.47119883
Against Asian Americans,@skaterjeongyeon @ti_xu_dao Obviously the majority is going to be white because whites are the majority in Austin. But of course that‘s something your chink brain can‘t comprehend.	,Toxic,0.6308517
Against Asian Americans,China is going to kill America one way or another.	,Toxic,0.47323486
Against Asian Americans,"You’re just mad because you maybe can’t use the racist term “Chinese Virus” anymore, you loser!",Toxic,0.7675452
Against Asian Americans,coronavirus is not xenophobic or racist and will get you no matter what. it doesn't give you a reason to be any of those things. this is a pandemic that can and will affect everyone. stop. targeting. asians.,Non Toxic,0.30136615
Against Asian Americans,STOP CALLING COVID-19 THE “CHINESE VIRUS” WHAT'S WRONG WIT YA,Non Toxic,0.4402136
Against Asian Americans,"@SenKamalaHarris @GOPLeader Hey Kevin - Calling it the ""Chinese Coronavirus is racist - but then, you're a hate-mongering bigot so you actually need people to tell you that.	",Non Toxic,0.50789946
Against Asian Americans,Being racist against the Chinese won't stop the virus. Attacking China won't improve your country's ability to fight the virus.,Non Toxic,0.32397532
Against Asian Americans,Put a #STOP 🛑 to all this racism Asians have been facing amidst this #coronavirus pandemic! It’s not acceptable. #Hateisavirus #RacismIsAVirus,Non Toxic,0.2922276
Against Asian Americans,STOP FUCKING CALLING IT THE 'CHINESE VIRUS' you racist asshat! #COVID19 @realDonaldTrump @WhiteHouse #notmypresident #RacismIsAVirus	,Non Toxic,0.944597
Against Asian Americans,Why was it so normal for people to call me a chink in secondary school and why did people think it was ok for people to call me that lol	,Non Toxic,0.4014846
Against Asian Americans,I am SICK 👏 OF 👏 IT 👏 AND SO IS EVERY ASIAN out there trying to survive just like you. #IamNotAVirus #CoronaRacism	,Non Toxic,0.60254884
Against Asian Americans,I am tweeting to Support #IAmNotAVirus hashtag &amp; respect for Asian Americans &amp; All Americans ❤️,Non Toxic,0.057748068
Against Asian Americans,STOP CALLING COVID-19 THE “CHINESE VIRUS” THE FUCKS WRONG WIT YA	,Non Toxic,0.9029226
Against Asian Americans,Shame on you if you attack Asians over this virus. YOU are the problem. #RacismIsAVirus	,Non Toxic,0.5885171
Against Asian Americans,My husband continues to deliberately call it the #WuhanVirus or #ChineseVirus and I just lost my shit at him. #RacismIsAVirus #racism 🤬,Non Toxic,0.6863638
Against Asian Americans,@gabewildau It's called preventative actions. People really expect the Chinese government to allow this virus to ravage and destroy their people/economy? People are fucking delusional with this anti China bashing. Time to look in the mirror.	,Non Toxic,0.5024724
Against Asian Americans,"Discrimination is not okay no matter what the cause. With tensions high from #COVID19, many Asian Americans are taking to social media with campaigns like #WashTheHate, #RacismIsAVirus, and #IAmNotCOVID19 to empower communities and fight back.",Non Toxic,0.11171334
Against Asian Americans,We are not diseased. We are not scapegoats. We are not a virus. We are Asian-Americans tired of the anti-Asian sentiment from COVID-19. Tell your story and join the collective of pan-asian youth retaking our narrative,Non Toxic,0.23379272
Against African Americans,"#BlackLivesMatter are a bunch of #terrorists, Trump must win #BlueLivesMatte #AllLivesMatter.",Toxic,0.4645176
Against African Americans,BlackLivesMatter Wake Up you are Pawns Being used by the #Democrats Your Lives mean nothing to them! They are insane,Toxic,0.60152835
Against African Americans,Three feral black teens kill elderly white man. MEDIA IGNORES. Elderly victims killed by black thugs matter.,Toxic ,0.71760553
Against African Americans,Black lives matter is the biggest rasist organisation since the clan. Are you kidding me. Disgusting!!!,Toxic ,0.72028047
Against African Americans,Congratulations to George Floyd on being drug free for an entire month! People are more upset about this tweet than they are about George Floyd robbing a pregnant woman at gunpoint. BTW he died from overdosing on fentanyl and meth.,Toxic,0.32020867
Against African Americans,"BLM Protestors horribly harass elderly Pittsburgh diners, scaring them with loud taunts while taking their food right off their plate. These Anarchists, not protestors, are Biden voters, but he has no control and nothing to say. Disgraceful. Never seen anything like it. Thugs!",Toxic,0.5885171
Against African Americans,"3 Dallas Cops killed, 7 wounded. this is now war. Watch out Obama. Watch out black lives matter punks. Real America is coming after you.",Toxic,0.5885171
Against African Americans,Black people beating whites when a thug got shot holding a gun by a black officer haha shit cracks me up! Keep kneeling for the Anthem!,Toxic,0.8364697
Against African Americans,BLM is pathetic once again! Obama you are pathetic once again! Everyone involved should be locked behind bars like animals!,Toxic ,0.7675452
Against African Americans,"These THUGS are dishonoring the memory of George Floyd, and I won't let that happen. Just spke to Governer Tim Walz and told him that the Military is with him all the way. Any difficulty and we will assument but, when the looting starts, the shooting starts. Thank you!",Toxic,0.41690505
Against African Americans,"Meet the new KKK, they call themselves ""Black Lives Matter"" but make no misatke their goals are far from equality. #Dallas #bluelivesmatter",Toxic,0.32128486
Against African Americans,#BlackLivesMatter This should not be a controversial statement. #BLM,Non Toxic ,0.15103401
,"Uber stands in solidarity with the Black community and with peaceful protests against the injustice and racism that have plagued our nation for too long. My hope is that if each of us recommits to doing all we can to counter bigotry wherever we see it, change will follow.",Non Toxic ,0.14256015
Against African Americans,#BlackLivesMatter isn't a hate group. We don't want to exterminate anybody. All we want is a level playing field. Equality. That's it.,Non Toxic ,0.17025198
Against African Americans,"Our voice would be nothing without Black culture. Right now, a lot of people are hurting because of blatant racism against Black people. Their voices need to be heard. Period. #BlackLivesMatter",Non Toxic,0.3266089
Against African Americans,"enough is enough. it's time we stand up for this. we can either sit and watch, or do something about it. the time is now. #blacklivesmatter",Non Toxic,0.16851899
Against African Americans,no more of this. no more. i'm sick of black people always having to state the obvious.. we're fighting for basic human rights & we shouldn't feel obligated to get online & constantly waste energy stating that we want equality and not revenge... please stop pushing this ideology,Non Toxic ,0.47323486
Against African Americans,Racism is a 400-year pandemic. Enough is enough. Black lives matter.,Non Toxic,0.3722269
Against African Americans,"There's no such thing as BLUE LIVES... Stop comparing your Job with my LIFE... Your CAREER is a choice, my BLACKNESS isn't #BlackLivesMatter",Non Toxic ,0.36456755
Against African Americans,"Our greatest strength. Black lives matter. White supremacy is the greatest threat. Black people are not inherently violent, nor are they low IQ; it's their socioeconomic status holding them back. Ytpipo are colonizers. BIPOC bring exquisite, diverse cuisines to our society.",Non Toxic,0.45090583
Against African Americans,"declaration: black bodies will no longer be sacrificed for the rest of teh world's enlightenment. i am done. i am so done. trayvon, you are loved infinitely. #blacklivesmatter",Non Toxic ,0.36095104
Against African Americans,When are black people going to wake up and realize that #BlackLivesMatter leaders DON'T care about black people? BLM was organized & funded by wealthy radical Demorats & Marxists that want to destroy America. Blacks are pawns,Non Toxic ,0.6863638
